task_id,state,description,asset_id,product_type,epoch,selected_scene_count,selected_scene_ids_sha256,error_message
,EXISTS,sprawlgp_composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2005,landsat_composite,2005,2,1fa4b3c866708070cf2cd5dbfc5e7415b27d45b392d74ad47f7916b1ae33006a,
,EXISTS,sprawlgp_valid_count_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2005,landsat_valid_count,2005,2,1fa4b3c866708070cf2cd5dbfc5e7415b27d45b392d74ad47f7916b1ae33006a,
,EXISTS,sprawlgp_composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2010,landsat_composite,2010,1,48d1d78e637ef0ef938035e504e5c865fb13eb37d4fc38b7061127f80df959e2,
,EXISTS,sprawlgp_valid_count_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2010,landsat_valid_count,2010,1,48d1d78e637ef0ef938035e504e5c865fb13eb37d4fc38b7061127f80df959e2,
,EXISTS,sprawlgp_composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2015,landsat_composite,2015,2,3dca32e2902873e78d4308d461910859231c74c775786c9e063ed6a14609eed8,
,EXISTS,sprawlgp_valid_count_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2015,landsat_valid_count,2015,2,3dca32e2902873e78d4308d461910859231c74c775786c9e063ed6a14609eed8,
,EXISTS,sprawlgp_composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2020,landsat_composite,2020,1,33ff83580bdb92f848863baef55b77e81bc1af2327c6ea7d3d61696d8a4e5e9e,
,EXISTS,sprawlgp_valid_count_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2020,landsat_valid_count,2020,1,33ff83580bdb92f848863baef55b77e81bc1af2327c6ea7d3d61696d8a4e5e9e,
YGGDSH4G3OMSPQ46ENXBYJKK,COMPLETED,sprawlgp_composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2025,landsat_composite,2025,19,3e9d016e76c8fb47fbc84ddae4045e314f03b7b94e2805993758e167792fb32b,
ZXPI7RZHRQO2SNDGV4YM2D3J,COMPLETED,sprawlgp_valid_count_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2025,landsat_valid_count,2025,19,3e9d016e76c8fb47fbc84ddae4045e314f03b7b94e2805993758e167792fb32b,
,EXISTS,sprawlgp_elevation_slope,projects/urban-sprawl-ssa/assets/sprawlgp/v1/terrain/elevation_slope,terrain,static,0,,
